choice,RT,trial,reward
0,0.17002503715490658,28,1
0,0.4013085798391671,30,0
0,0.23292738663556856,41,1
0,0.19605403671866117,42,0
0,0.5027444966692389,47,1
0,0.1484358193735429,48,0
0,0.14056764114795328,50,0
0,0.38843860172715683,59,0
0,0.6098798028178427,60,0
0,0.3659623593781376,78,0
0,0.14538659411107258,80,0
0,0.8011550694040253,89,0
0,0.15061546603281517,90,1
0,0.3226893246412028,91,0
0,0.16845615956651816,92,1
0,0.3438760333161217,95,0
0,0.2737071430028992,97,0
0,0.33793550787797155,101,0
0,0.5654585844280309,108,1
0,0.35667058075190505,109,0
0,0.2466397832957048,117,0
0,0.6004109296558422,118,0
0,0.1511148091605632,119,0
0,0.1696838909767866,122,1
0,0.25863628145494255,127,0
0,0.47309067935243876,131,0
0,0.21314032439077257,139,0
0,0.3333234163901606,144,0
0,0.20566042168654253,145,0
0,0.23722663523057985,148,0
0,0.39453993120406716,152,0
0,0.45818890166025783,158,0
0,0.2368213694437138,163,0
0,0.1780438734117622,166,0
0,0.6269087097768615,167,1
0,0.16519851257845408,168,1
0,0.5697190851679705,173,0
0,0.2257973779603244,174,0
0,0.1540705642039537,175,0
0,0.19471694065719758,181,0
0,0.2602075500857688,189,0
0,0.23188027311510728,190,0
0,0.34098275710320003,193,0
0,0.2192598979658018,203,0
0,0.5260030979921666,204,0
0,0.4666279641051889,211,1
0,0.33942068049942264,213,0
0,0.2632288445342734,216,0
0,0.5772550228446245,220,1
0,0.8531546679331665,222,0
0,0.27478329171966376,225,0
0,0.17277153317479899,227,0
0,0.3116471820482589,228,1
0,0.18465315857118858,232,0
0,0.35351309326501523,233,1
0,0.3244478014925103,239,0
0,0.17312276842688812,245,1
0,0.36868434759966506,256,1
0,0.8283256882914061,260,0
0,0.48218892273261993,261,1
0,0.58055750048241,263,0
0,0.4514584817190408,266,1
0,0.14544604340700307,268,0
0,0.7115236770153288,277,1
0,0.17565406373967196,278,0
0,0.6537894805976348,280,1
0,0.9700266965584481,282,1
0,0.8767835411120579,284,0
0,0.18870905968674068,290,1
0,0.1329583403292709,294,0
0,0.26844062148233183,298,1
0,0.3991431727907977,301,0
0,0.17029324087234077,303,0
0,0.3824313015605747,305,0
0,0.25346437034559344,308,0
0,0.2807785198760735,312,0
0,0.19623821495734806,315,0
0,0.4901249399391858,317,1
0,0.18536599485209138,323,0
0,0.6579381435271734,324,0
0,0.33949427822998235,325,0
0,0.31074062510931855,332,0
0,0.673953484145362,336,0
0,0.24241409668390368,339,1
0,0.4109320535512513,342,1
0,0.17856537091619273,346,0
0,0.20200752505532993,347,0
0,0.4669282967801518,354,0
0,0.6146638526777504,358,0
0,0.30815681011835583,367,0
0,0.45946267391802653,368,0
0,0.4955726392874569,373,0
0,0.47227600525547153,374,0
0,0.3717243092669116,376,0
0,0.4959218414095976,377,0
0,0.23014477034788072,386,0
0,0.17262027967298366,390,1
0,0.7740832525553794,391,0
0,0.6693228650000242,392,0
0,0.27843195025985423,393,0
0,0.6719783451449639,395,0
0,0.5335531951976895,398,0
0,0.3324004747485625,399,0
0,0.2039951734453851,401,0
0,0.21653347138137624,402,0
0,0.45368332464182437,403,1
0,0.1714332671355221,407,0
0,0.2344440410451396,410,0
0,0.27105364876278415,411,0
0,0.2461445434683398,416,1
0,0.2823746126705742,418,0
0,0.48497015696198575,424,1
0,1.6624668321121785,427,0
0,0.21936300332579162,430,0
0,1.6877031394236939,431,0
0,0.28037740647418463,432,1
0,0.3678383152391489,433,0
0,0.280652521463006,434,0
0,0.289255993629157,437,0
0,0.1518201458291415,438,1
0,0.6003232472100359,441,0
0,0.3619304148490339,445,0
0,0.1456385304806216,449,1
0,0.4121446200414005,451,0
0,1.1340760945473303,453,1
0,0.9352631974194092,458,1
0,0.37075060923945946,464,1
0,0.7181235155478296,465,0
0,0.2715971339551766,467,0
0,0.18641276590446276,468,0
0,0.4984032712606359,472,0
0,0.16385526621422963,480,0
0,0.1698957036129145,483,0
0,0.3248044305453357,489,0
0,0.18875603912840155,490,0
0,0.20918456642482441,493,0
0,0.2513401239513642,495,0
0,0.2170669664520739,498,0
0,0.14005279953833805,511,0
0,0.42728268375468836,515,1
0,0.6393243599611891,518,0
0,0.3625813857064424,524,0
0,0.28446790345745177,527,0
0,0.6159641369552733,528,1
0,0.1771588966218558,532,0
0,0.1912944031189312,533,0
0,0.1541499129417181,534,0
0,0.39653338558075557,541,0
0,0.618921083220942,555,0
0,0.4212964928284264,561,0
0,0.16711761818859294,564,0
0,0.8732822141058216,571,0
0,0.32450238330886183,575,0
0,0.197810713701577,577,0
0,0.32177536256439865,582,0
0,1.176033037872938,593,1
0,0.34677866040690875,594,1
0,0.20018292618890143,596,0
0,0.5203050012890804,597,0
0,0.2729647809965634,611,0
0,0.1508900266313984,621,0
0,0.4222741244613406,628,0
0,0.17190729012816686,641,0
0,0.17149469331777611,642,1
0,0.35302187217182723,650,0
0,0.28497349286923823,651,0
0,0.361667403225995,654,0
0,0.2908039826920441,661,0
0,0.25670406206607366,664,0
0,0.24686923950982953,665,0
